symbol,entry_date,exit_date,hold_weeks,ret,exit_reason
VJC,2019-08-30,2020-01-31,22,-0.03290582959641267,MA10
DRC,2019-09-27,2020-01-31,18,-0.030245017921161965,MA10
VC3,2019-09-27,2020-02-07,19,0.08178774876394827,MA10
CTF,2019-10-11,2020-02-14,18,-0.06731078224101482,MA10
DHC,2019-11-08,2020-02-14,14,0.005638720605033069,MA10
KOS,2019-11-08,2020-02-21,15,-0.016830324909747472,MA10
VCB,2019-03-22,2020-02-28,49,0.2441487833118799,MA10
BID,2019-08-30,2020-02-28,26,0.26937329296070456,MA10
FIT,2019-09-27,2020-02-28,22,0.9797549857549859,MA10
TIG,2019-09-27,2020-03-13,24,0.8235218295135135,MA10
CDC,2019-11-15,2020-03-13,17,0.0303170262450332,MA10
NAF,2019-03-15,2020-03-27,54,0.7719605263157893,MA10
PDR,2020-06-12,2020-06-19,1,-0.11881070745697898,MA10
EVF,2020-06-12,2020-06-26,2,-0.08599999999999985,MA10
VPB,2020-06-12,2020-06-26,2,-0.12068812877263589,MA10
VC3,2020-06-26,2020-06-26,0,-0.018121212121212198,MA10
VGS,2020-06-19,2020-07-03,2,-0.07158998021951227,MA10
DCL,2020-06-26,2020-07-03,1,-0.06764383561643836,MA10
DLG,2020-06-26,2020-07-03,1,-0.14885714285714285,MA10
MSR,2020-06-26,2020-07-03,1,-0.08007407407407408,MA10
VPI,2020-07-03,2020-07-03,0,-0.0226666666666666,MA10
HID,2020-06-19,2020-07-17,4,-0.13013793103448276,MA10
CTG,2020-06-12,2020-07-24,6,-0.11062776659959758,MA10
G36,2020-06-12,2020-07-24,6,-0.17841379310344818,MA10
NKG,2020-06-12,2020-07-24,6,-0.20721951219512183,MA10
NTP,2020-06-12,2020-07-24,6,-0.09720000000000013,MA10
TIG,2020-06-12,2020-07-24,6,-0.006,MA10
BSI,2020-07-03,2020-07-24,3,-0.14266666666666675,MA10
HUT,2020-07-10,2020-07-24,2,-0.1983076923076923,MA10
EIB,2020-07-24,2020-07-24,0,-0.029255813953488252,MA10
DPM,2020-06-12,2020-07-31,7,-0.08989261744966462,MA10
EVG,2020-06-12,2020-07-31,7,-0.15599999999999992,MA10
FTS,2020-06-12,2020-07-31,7,-0.13099999999999992,MA10
HHS,2020-06-12,2020-07-31,7,-0.13054399139312492,MA10
HSG,2020-06-12,2020-07-31,7,-0.1539820627802691,MA10
KOS,2020-06-12,2020-07-31,7,-0.047666666666666725,MA10
DCM,2020-06-19,2020-07-31,6,-0.0677577197149645,MA10
HQC,2020-06-19,2020-07-31,6,-0.3909557522123894,MA10
KSB,2020-06-19,2020-07-31,6,-0.22778988326848257,MA10
STB,2020-07-03,2020-07-31,4,-0.11219469026548673,MA10
HPX,2020-07-10,2020-08-14,5,-0.08759722222222234,MA10
SHI,2020-09-18,2020-09-25,1,-0.027505376344086237,MA10
DBC,2020-06-26,2020-10-16,16,-0.19556493282825366,MA10
HID,2020-09-18,2020-10-16,4,-0.06737184115523466,MA10
PVI,2020-09-18,2020-10-16,4,-0.03570297029702977,MA10
FIT,2020-06-12,2020-10-23,19,0.33931249999999985,MA10
C4G,2020-07-24,2020-10-23,13,-0.04303703703703697,MA10
GEX,2020-09-18,2020-10-23,5,-0.16773570019723882,MA10
PVB,2020-09-25,2020-10-23,4,-0.19384530385549764,MA10
SBS,2020-10-09,2020-10-23,2,-0.08292307692307693,MA10
BWE,2020-09-18,2020-10-30,6,-0.07392452830188659,MA10
ELC,2020-09-18,2020-10-30,6,-0.14298630136986318,MA10
MSR,2020-09-18,2020-10-30,6,-0.03667484662576687,MA10
TIG,2020-09-18,2020-10-30,6,-0.13900492607857148,MA10
FCN,2020-09-25,2020-10-30,5,-0.06674766355140174,MA10
CTS,2020-10-09,2020-10-30,3,-0.09050704225352106,MA10
HBC,2020-10-16,2020-10-30,2,-0.12827074235807853,MA10
SZC,2020-10-16,2020-10-30,2,-0.15122058823529427,MA10
TLG,2020-10-23,2020-10-30,1,-0.04053038674033154,MA10
HQC,2020-10-16,2020-11-06,3,-0.06380346820809249,MA10
HUT,2020-10-16,2020-11-06,3,-0.11711111111111115,MA10
KOS,2020-09-25,2020-11-13,7,-0.1333584905660379,MA10
CDC,2020-06-26,2020-11-20,21,0.37575225691034503,MA10
EIB,2020-09-25,2020-11-27,9,0.0028495575221240983,MA10
NNC,2020-11-20,2020-12-04,2,-0.05177757271228421,MA10
CMG,2020-12-11,2020-12-18,1,-0.03457142857142865,MA10
CRC,2020-10-30,2020-12-25,8,-0.2322295081967213,MA10
AGG,2020-12-25,2021-01-01,1,-0.0786978998384492,MA10
TDP,2020-11-06,2021-01-22,11,-0.09061538461538457,MA10
VC3,2021-01-15,2021-01-22,1,-0.017834319526627188,MA10
BFC,2020-09-18,2021-01-29,19,-0.05575957539169157,MA10
BMI,2020-09-18,2021-01-29,19,0.026786885245901747,MA10
CTG,2020-09-18,2021-01-29,19,0.1838831827615386,MA10
DPM,2020-09-18,2021-01-29,19,-0.03836883946294136,MA10
EVF,2020-09-18,2021-01-29,19,0.19988235294117626,MA10
HAG,2020-09-18,2021-01-29,19,-0.02229327902240326,MA10
HAH,2020-09-18,2021-01-29,19,0.24906072874493945,MA10
KSB,2020-09-18,2021-01-29,19,0.05754515050167227,MA10
PLC,2020-09-18,2021-01-29,19,0.16522457965188736,MA10
SHB,2020-09-18,2021-01-29,19,-0.006,MA10
TTF,2020-09-18,2021-01-29,19,-0.02778217821782178,MA10
VHC,2020-09-18,2021-01-29,19,-0.044321908556227495,MA10
VNM,2020-09-18,2021-01-29,19,0.010644209674691771,MA10
DXP,2020-10-09,2021-01-29,16,0.001299270072992697,MA10
VTP,2020-10-09,2021-01-29,16,-0.06052865064695005,MA10
DDV,2020-10-16,2021-01-29,15,0.11707692307692309,MA10
LAS,2020-10-16,2021-01-29,15,0.007888888888888786,MA10
OIL,2020-10-23,2021-01-29,14,0.1506265060240962,MA10
ANV,2020-10-30,2021-01-29,13,-0.04752005630640417,MA10
ACV,2020-11-20,2021-01-29,10,0.0026330935251797985,MA10
FCN,2020-11-20,2021-01-29,10,0.0668442751250002,MA10
PHR,2020-11-20,2021-01-29,10,-0.027964573268921072,MA10
VEA,2020-11-20,2021-01-29,10,0.017834903804255307,MA10
BWE,2020-11-27,2021-01-29,9,0.08172619989127133,MA10
LDG,2020-11-27,2021-01-29,9,0.010925246826516343,MA10
SAB,2020-11-27,2021-01-29,9,-0.1550168081190623,MA10
C4G,2020-12-04,2021-01-29,8,-0.027276595744680915,MA10
DPG,2020-12-04,2021-01-29,8,-0.16532203389830508,MA10
GAS,2020-12-04,2021-01-29,8,-0.09332057416267948,MA10
MSR,2020-12-04,2021-01-29,8,0.09283720930232557,MA10
PLX,2020-12-04,2021-01-29,8,-0.052692607003890855,MA10
TV2,2020-12-04,2021-01-29,8,-0.003963340122199526,MA10
FRT,2020-12-11,2021-01-29,7,0.011475728155339768,MA10
SBT,2020-12-11,2021-01-29,7,-0.07816494845360808,MA10
CDC,2020-12-18,2021-01-29,6,-0.0821133603238867,MA10
HVN,2020-12-18,2021-01-29,6,-0.07781328545780969,MA10
PVB,2020-12-18,2021-01-29,6,-0.04894478527607386,MA10
BID,2020-12-25,2021-01-29,5,-0.160675925951875,MA10
BVH,2020-12-25,2021-01-29,5,-0.025097222222222312,MA10
HHV,2020-12-25,2021-01-29,5,-0.03457142857142846,MA10
PAN,2020-12-25,2021-01-29,5,-0.06504059040590415,MA10
VIC,2020-12-25,2021-01-29,5,-0.06381990521327004,MA10
CMG,2021-01-08,2021-01-29,3,-0.1507368421052632,MA10
DBC,2021-01-08,2021-01-29,3,-0.1714991243432574,MA10
EIB,2021-01-15,2021-01-29,2,-0.18001960784313714,MA10
GEG,2021-01-15,2021-01-29,2,-0.20696852300242116,MA10
HHP,2021-01-15,2021-01-29,2,-0.14784397163120586,MA10
HNG,2021-01-15,2021-01-29,2,-0.34327810650887575,MA10
GEX,2021-01-22,2021-01-29,1,-0.16917991631799156,MA10
NTP,2020-09-25,2021-02-05,19,0.06387584599219276,MA10
FIT,2020-12-11,2021-02-05,8,0.3229760348583879,MA10
AAA,2020-11-27,2021-02-12,11,0.05091056910569093,MA10
QCG,2020-12-04,2021-02-12,10,0.17332148626817448,MA10
CEO,2020-12-25,2021-02-12,7,-0.047237113402061805,MA10
CTD,2021-01-08,2021-02-12,5,-0.11796911196911196,MA10
NT2,2020-09-25,2021-02-26,22,-0.0047030194173077996,MA10
VCB,2020-11-27,2021-03-19,16,0.025142190177850195,MA10
BMP,2020-07-03,2021-03-26,38,0.17688350919857668,MA10
VCG,2020-09-18,2021-03-26,27,0.21739039955867734,MA10
TLG,2020-11-27,2021-03-26,17,0.031773666386701746,MA10
PVI,2020-12-04,2021-03-26,16,0.00032911392405057804,MA10
VHC,2021-03-12,2021-03-26,2,-0.10944827586206904,MA10
NT2,2021-03-19,2021-03-26,1,-0.05772413793103457,MA10
BID,2021-03-26,2021-03-26,0,-0.07044444444444437,MA10
VSC,2020-10-09,2021-04-09,26,0.36159942996048366,MA10
SIP,2020-11-13,2021-04-09,21,0.663754294451429,MA10
SCS,2020-12-25,2021-04-09,15,-0.016819165378670665,MA10
TDP,2021-04-09,2021-04-09,0,-0.02392114695340499,MA10
CSV,2020-09-18,2021-04-16,30,0.08833962264150949,MA10
IDC,2020-09-18,2021-04-16,30,0.5485851528384281,MA10
G36,2020-09-25,2021-04-16,29,1.0654285713999998,MA10
HPX,2020-10-02,2021-04-16,28,0.3063772102161101,MA10
GVR,2020-10-09,2021-04-16,27,1.0587773279352228,MA10
TRC,2020-10-09,2021-04-16,27,0.11263292803823526,MA10
VGI,2020-10-09,2021-04-16,27,0.31784341637010677,MA10
VGT,2020-10-09,2021-04-16,27,0.9315000000000001,MA10
LCG,2020-10-16,2021-04-16,26,0.3634581280788177,MA10
REE,2020-12-25,2021-04-16,16,0.07910638297872331,MA10
C69,2021-01-08,2021-04-16,14,0.027898305084745577,MA10
KSB,2021-03-05,2021-04-16,6,-0.16542028985507248,MA10
PLX,2021-03-05,2021-04-16,6,-0.10033962264150953,MA10
PLC,2021-03-12,2021-04-16,5,-0.13599999999999982,MA10
BID,2021-04-09,2021-04-16,1,-0.08696280087527368,MA10
BVH,2021-04-16,2021-04-16,0,-0.0840254777070064,MA10
TDP,2021-04-16,2021-04-16,0,-0.0004444444444444652,MA10
HT1,2020-09-18,2021-04-23,31,0.16687066248258017,MA10
HDG,2020-10-09,2021-04-23,28,0.5685679012139997,MA10
SZC,2020-11-27,2021-04-23,21,0.2617304964539008,MA10
POW,2020-12-04,2021-04-23,20,0.21139130434782596,MA10
CII,2021-01-15,2021-04-23,14,-0.05499777282850747,MA10
C4G,2021-03-12,2021-04-23,6,-0.10421428571428577,MA10
CEO,2021-03-12,2021-04-23,6,-0.19000000000000006,MA10
QCG,2021-03-12,2021-04-23,6,-0.16518367346938775,MA10
CTI,2021-03-19,2021-04-23,5,-0.07700591715976324,MA10
FCN,2021-03-19,2021-04-23,5,-0.14205442176870756,MA10
HHP,2021-03-19,2021-04-23,5,-0.2072500000000001,MA10
SBT,2021-03-19,2021-04-23,5,-0.1524435146443516,MA10
FRT,2021-03-26,2021-04-23,4,-0.06891390728476822,MA10
GEG,2021-04-09,2021-04-23,2,-0.06111811023622054,MA10
TCH,2021-04-16,2021-04-23,1,-0.14830769230769233,MA10
HAG,2021-04-23,2021-04-23,0,-0.166,MA10
MSR,2021-04-23,2021-04-23,0,-0.05669124423963134,MA10
TDP,2021-04-23,2021-04-23,0,-0.00416176470588244,MA10
DPR,2020-07-10,2021-04-30,42,0.2664806201746151,MA10
SCR,2020-09-25,2021-04-30,31,0.3327096774193548,MA10
CTS,2020-11-27,2021-04-30,22,0.6956317016317016,MA10
HBC,2020-11-27,2021-04-30,22,0.3144825596073166,MA10
NTL,2020-11-27,2021-04-30,22,0.22124789377446283,MA10
PVD,2020-12-04,2021-04-30,21,0.45583206106870233,MA10
PVS,2020-12-04,2021-04-30,21,0.3251258278145694,MA10
VRE,2020-12-25,2021-04-30,18,0.04836573311367381,MA10
VJC,2021-01-15,2021-04-30,15,-0.01864822134387352,MA10
HVN,2021-03-05,2021-04-30,8,-0.048904290429042964,MA10
GAS,2021-03-12,2021-04-30,7,-0.12705263157894736,MA10
CMG,2021-03-19,2021-04-30,6,-0.02594301994302005,MA10
TV2,2021-03-19,2021-04-30,6,-0.06740350877192994,MA10
DXP,2021-03-26,2021-04-30,5,-0.2130707070707072,MA10
LDG,2021-04-09,2021-04-30,3,-0.10671090047393356,MA10
HHV,2021-04-23,2021-04-30,1,-0.07706598984771565,MA10
CTR,2020-10-09,2021-05-07,30,0.8151920529801326,MA10
TNG,2020-11-20,2021-05-07,24,0.5269891400773723,MA10
QTP,2021-01-22,2021-05-07,15,-0.0823888888888889,MA10
VPI,2021-01-22,2021-05-07,15,-0.07714093959731551,MA10
DPM,2021-03-12,2021-05-07,8,-0.06284754521963831,MA10
OIL,2021-03-12,2021-05-07,8,-0.20336842105263156,MA10
PVI,2021-04-23,2021-05-07,2,-0.04480597014925369,MA10
VIX,2020-07-10,2021-05-14,44,3.289190712944444,MA10
CSM,2020-09-25,2021-05-14,33,0.13324050632911383,MA10
PC1,2020-11-20,2021-05-14,25,0.19640480961923826,MA10
CTF,2021-02-26,2021-05-14,11,-0.02599999999999994,MA10
VGC,2020-07-17,2021-05-21,44,0.5037087378640774,MA10
PVP,2020-07-24,2021-05-21,43,0.9147063712447367,MA10
BCM,2020-09-18,2021-05-21,35,0.2621460317878573,MA10
DHA,2020-09-25,2021-05-21,34,0.17736009155264953,MA10
DTD,2020-10-16,2021-05-21,31,0.4121818181818183,MA10
KBC,2020-12-11,2021-05-21,23,1.0312670807453412,MA10
DDV,2021-03-05,2021-05-21,11,0.09926315789473678,MA10
VSC,2021-05-28,2021-05-28,0,-0.052992481203007535,MA10
HHV,2021-05-14,2021-06-04,3,-0.11126315789473683,MA10
POM,2020-09-25,2021-06-11,37,2.090153846153847,MA10
VIC,2021-03-26,2021-06-11,11,0.08256088560885598,MA10
PLX,2021-06-04,2021-06-11,1,-0.009690036900369027,MA10
TLG,2021-06-04,2021-06-11,1,-0.029498694516971208,MA10
PVB,2021-06-11,2021-06-11,0,-0.1481052631578946,MA10
CMG,2021-05-21,2021-06-18,4,-0.02809944751381222,MA10
HPX,2021-06-18,2021-06-25,1,-0.1395830212234707,MA10
LCG,2021-06-18,2021-06-25,1,-0.04263003663003663,MA10
VGI,2021-06-18,2021-06-25,1,-0.06380346820809242,MA10
DXP,2021-06-25,2021-06-25,0,-0.06552380952380936,MA10
G36,2021-06-25,2021-06-25,0,-0.16599999999999984,MA10
HT1,2021-06-25,2021-06-25,0,-0.02407228915662664,MA10
IDC,2021-06-11,2021-07-02,3,-0.06605221932114881,MA10
PAN,2021-06-11,2021-07-02,3,-0.031454545454545395,MA10
CTI,2021-06-25,2021-07-02,1,-0.07676923076923074,MA10
FCN,2021-06-25,2021-07-02,1,-0.07266666666666666,MA10
GEG,2021-06-25,2021-07-02,1,-0.026172910662824407,MA10
KSB,2021-06-25,2021-07-02,1,-0.07626143790849675,MA10
G36,2021-07-02,2021-07-02,0,-0.053619047619047795,MA10
EVG,2020-09-18,2021-07-09,42,1.330683417071429,MA10
HHS,2020-09-18,2021-07-09,42,0.2856666666666665,MA10
DIG,2020-09-25,2021-07-09,41,1.0798275862068962,MA10
VGS,2020-09-25,2021-07-09,41,1.1864083768750004,MA10
IJC,2020-11-20,2021-07-09,33,1.0499732665740742,MA10
PVT,2020-11-20,2021-07-09,33,0.399293569436216,MA10
DXG,2020-11-27,2021-07-09,32,0.6080350877192982,MA10
PVC,2020-11-27,2021-07-09,32,0.5365641026123084,MA10
HQC,2020-12-25,2021-07-09,28,0.8668323699421965,MA10
AAA,2021-03-19,2021-07-09,16,-0.006,MA10
VC3,2021-03-26,2021-07-09,15,0.1506265060240964,MA10
PVS,2021-06-04,2021-07-09,5,-0.014474576271186642,MA10
REE,2021-06-04,2021-07-09,5,-0.11692436974789937,MA10
SZC,2021-06-04,2021-07-09,5,-0.0388767123287671,MA10
MSR,2021-06-11,2021-07-09,4,-0.12028571428571429,MA10
OIL,2021-06-11,2021-07-09,4,-0.19954838709677428,MA10
PLC,2021-06-11,2021-07-09,4,-0.1323157894736841,MA10
PVD,2021-06-11,2021-07-09,4,-0.2805098039215687,MA10
TRC,2021-06-11,2021-07-09,4,-0.07487755102040825,MA10
VEA,2021-06-11,2021-07-09,4,-0.04248068669527896,MA10
VGT,2021-06-11,2021-07-09,4,-0.12427956989247325,MA10
BVH,2021-06-18,2021-07-09,3,-0.09830769230769214,MA10
DTD,2021-06-18,2021-07-09,3,-0.0942352941176471,MA10
PLX,2021-06-18,2021-07-09,3,-0.05961275723284674,MA10
SBT,2021-06-18,2021-07-09,3,-0.1562347417840376,MA10
SCR,2021-06-18,2021-07-09,3,-0.17414159292035397,MA10
TNG,2021-06-18,2021-07-09,3,-0.16850000000000007,MA10
BMP,2021-06-25,2021-07-09,2,-0.07003940886699511,MA10
CSM,2021-06-25,2021-07-09,2,-0.10436065573770507,MA10
CSV,2021-06-25,2021-07-09,2,-0.058980132450331096,MA10
KBC,2021-06-25,2021-07-09,2,-0.1696363636363635,MA10
TLG,2021-06-25,2021-07-09,2,-0.03716883116883126,MA10
VCG,2021-06-25,2021-07-09,2,-0.13993756294058393,MA10
VHC,2021-06-25,2021-07-09,2,-0.16911300639658847,MA10
HAX,2020-10-09,2021-07-16,40,0.9049540636042401,MA10
KLB,2020-10-16,2021-07-16,39,0.8557886178861785,MA10
DRI,2020-11-06,2021-07-16,36,0.3643703704000001,MA10
CTG,2021-03-12,2021-07-16,18,0.15865056640624975,MA10
BID,2021-05-28,2021-07-16,7,-0.07193406593406594,MA10
VFS,2021-06-18,2021-07-16,4,-0.09391208791208776,MA10
NTL,2021-06-25,2021-07-16,3,-0.10054545454545452,MA10
CMG,2021-07-02,2021-07-16,2,-0.04123035230352293,MA10
HHV,2021-07-09,2021-07-16,1,-0.14025925925925947,MA10
VJC,2021-07-16,2021-07-16,0,-0.03543650126156434,MA10
PET,2020-07-03,2021-07-23,55,1.608017328801015,MA10
AGR,2020-09-18,2021-07-23,44,1.6008376068376065,MA10
VPB,2020-09-18,2021-07-23,44,1.548585152838428,MA10
TCM,2020-10-09,2021-07-23,41,2.8557721519986075,MA10
VIB,2020-10-09,2021-07-23,41,1.3068767123287677,MA10
PNJ,2020-12-04,2021-07-23,33,0.15423681209288462,MA10
SHI,2020-12-04,2021-07-23,33,1.3190000000000002,MA10
VCB,2021-04-09,2021-07-23,15,-0.03599999999999989,MA10
EIB,2021-04-23,2021-07-23,13,-0.017406844106463714,MA10
DBC,2021-06-11,2021-07-23,6,-0.12798464418604635,MA10
BVB,2021-07-09,2021-07-23,2,-0.25072573839662443,MA10
TV2,2021-07-09,2021-07-30,3,-0.07922533570136524,MA10
CTF,2021-06-18,2021-08-06,7,-0.027951219512195147,MA10
VIC,2021-08-13,2021-08-13,0,-0.02631802120141357,MA10
GAS,2021-06-11,2021-08-20,10,-0.02381112189880348,MA10
LPB,2020-06-12,2021-08-27,63,2.046000000000001,MA10
ACB,2020-09-18,2021-08-27,49,0.902052884615384,MA10
TCB,2020-10-23,2021-08-27,44,1.0876819172113288,MA10
VHM,2020-12-04,2021-08-27,38,0.2742395209580838,MA10
AGG,2021-01-22,2021-08-27,31,0.4225714285714289,MA10
HDB,2020-09-18,2021-09-03,50,0.7116347551176948,MA10
STB,2020-10-02,2021-09-03,48,0.9794014598540146,MA10
SHB,2021-03-26,2021-09-10,24,0.47002040816326507,MA10
PDR,2020-09-18,2021-09-17,52,1.8366140540540548,MA10
DCL,2021-01-08,2021-09-17,36,0.5174375,MA10
FIT,2021-06-04,2021-09-17,15,0.0511428571428572,MA10
MBB,2020-11-06,2021-10-01,47,1.0584846796657386,MA10
VSC,2021-07-02,2021-10-01,13,-0.0026442953020134655,MA10
SCS,2021-06-18,2021-10-08,16,0.014859514403321143,MA10
NAF,2021-05-28,2021-10-15,20,0.06807407407407402,MA10
KDC,2020-06-12,2021-10-22,71,0.8661752928797614,MA10
FOX,2020-06-12,2021-11-19,75,1.1415169638705236,MA10
HPG,2020-06-12,2021-11-19,75,1.8959163520013824,MA10
HSG,2020-09-25,2021-11-19,60,1.848671280276817,MA10
MCH,2020-10-16,2021-11-19,57,0.6089735450006669,MA10
