symbol,entry_date,exit_date,hold_weeks,ret,exit_reason
DLG,2025-07-11,2025-09-12,9,0.02958718861209965,MA10
POW,2025-05-16,2025-09-19,18,0.15749809885931565,MA10
DPM,2025-06-20,2025-09-19,13,0.2800677526068964,MA10
HCM,2025-06-27,2025-09-19,12,0.29827081188066384,MA10
IDC,2025-07-04,2025-09-19,11,0.07796826647744866,MA10
BID,2025-07-04,2025-09-19,11,0.08891059147180197,MA10
MBS,2025-07-11,2025-09-19,10,0.3322326764509089,MA10
VCB,2025-07-11,2025-09-19,10,0.07092307692307691,MA10
DCM,2025-08-01,2025-09-19,7,0.04122222222222222,MA10
PTB,2025-09-19,2025-09-19,0,-0.006,MA10
DGW,2025-09-19,2025-09-19,0,-0.05654945054945055,MA10
PAN,2025-05-23,2025-09-26,18,0.3931792411795742,MA10
MIG,2025-06-27,2025-09-26,13,0.09134761359148665,MA10
HDB,2025-06-27,2025-09-26,13,0.3644545454545454,MA10
HBC,2025-07-11,2025-09-26,11,0.17861538461538462,MA10
PC1,2025-07-18,2025-09-26,10,0.15177777777777784,MA10
PNJ,2025-07-25,2025-09-26,9,-0.007179245245939729,MA10
CTD,2025-09-26,2025-09-26,0,-0.013263922518159613,MARKET_DD
HDG,2025-05-16,2025-10-03,20,0.35482474226804134,MA10
KSB,2025-06-06,2025-10-03,17,0.1377125748502994,MA10
HPG,2025-06-13,2025-10-03,16,0.26526436781609175,MA10
QCG,2025-06-13,2025-10-03,16,0.16066666666666665,MA10
VDS,2025-06-27,2025-10-03,14,0.4654285714285714,MA10
HUT,2025-07-11,2025-10-03,12,0.26117557251908396,MA10
NKG,2025-07-11,2025-10-03,12,0.1911326164874552,MA10
VGC,2025-07-25,2025-10-03,10,0.10140354535974984,MA10
PLC,2025-07-25,2025-10-03,10,0.08702325581395348,MA10
PVD,2025-08-15,2025-10-03,7,-0.10091378899063831,MA10
G36,2025-08-15,2025-10-03,7,-0.046000000000000006,MA10
ORS,2025-08-15,2025-10-03,7,0.016900763358778624,MA10
MWG,2025-09-05,2025-10-03,4,-0.004699609882964889,MARKET_DD
DDV,2025-09-26,2025-10-03,1,-0.028151898734177214,MA10
PVT,2025-10-03,2025-10-03,0,-0.05425737265415549,MA10
DHC,2025-06-27,2025-10-17,16,0.30139299610894954,MA10
NT2,2025-07-04,2025-10-17,15,0.1512164948453609,MA10
BMI,2025-10-03,2025-10-17,2,-0.03020814479638017,MA10
MBS,2025-10-10,2025-10-17,1,0.0031463414634146335,MA10
PET,2025-10-17,2025-10-17,0,-0.006,MARKET_DD
BID,2025-10-17,2025-10-17,0,-0.04296523861524397,MA10
HCM,2025-10-17,2025-10-17,0,-0.01903538175046568,MA10
VCB,2025-10-17,2025-10-17,0,-0.02965930599369085,MA10
STB,2025-05-16,2025-10-24,23,0.3633467336683417,MA10
MBB,2025-05-23,2025-10-24,22,0.32089834065449807,MA10
CTG,2025-06-20,2025-10-24,18,0.25065632898573215,MA10
DPG,2025-09-26,2025-10-24,4,-0.04621739130434782,MA10
VNM,2025-10-17,2025-10-24,1,-0.028095192771382713,MA10
BSR,2025-06-13,2025-10-31,20,0.48787499999999984,MA10
LPB,2025-06-27,2025-10-31,18,0.5833416927899686,MARKET_DD
MSR,2025-10-03,2025-10-31,4,-0.03905785123966942,MA10
PLX,2025-10-31,2025-10-31,0,-0.013183908045977012,MA10
ANV,2025-06-06,2025-11-07,22,0.766724905993691,MA10
CTD,2025-10-17,2025-11-07,3,-0.02226016260162588,MA10
MWG,2025-10-17,2025-11-07,3,-0.06388177339901478,MA10
HDB,2025-10-17,2025-11-07,3,-0.052104928457869654,MA10
PNJ,2025-10-24,2025-11-07,2,-0.034856825749167666,MA10
HUT,2025-11-07,2025-11-07,0,-0.03457142857142857,MA10
PLX,2025-11-07,2025-11-07,0,-0.03457142857142857,MA10
DGC,2025-11-07,2025-11-07,0,-0.042231884057971014,MA10
BMI,2025-11-07,2025-11-14,1,-0.026356234096692112,MA10
SAB,2025-11-14,2025-11-14,0,0.013480519480519327,MARKET_DD
VEA,2025-09-19,2025-11-21,9,-0.00793626464676626,MA10
PVC,2025-11-14,2025-11-21,1,-0.015174311926605505,MA10
VGC,2025-11-21,2025-11-21,0,-0.039261802575107294,MA10
OIL,2025-11-21,2025-11-21,0,-0.033522935779816514,MA10
HPG,2025-11-21,2025-11-21,0,0.006939001848428836,MA10
PET,2025-11-21,2025-11-21,0,-0.04258536585365846,MARKET_DD
QCG,2025-11-21,2025-11-21,0,0.001352941176470588,MA10
G36,2025-11-21,2025-11-21,0,-0.01776470588235294,MA10
MBS,2025-11-21,2025-11-21,0,-0.03590033222591362,MA10
BID,2025-11-21,2025-11-21,0,-0.02555671447196871,MA10
VCB,2025-11-21,2025-11-21,0,-0.02266666666666667,MA10
NAF,2025-09-26,2025-11-28,9,0.06413574660633498,MA10
QCG,2025-11-28,2025-11-28,0,0.01655639097744361,MA10
CTG,2025-11-28,2025-11-28,0,-0.008036659877800348,MA10
GMD,2025-12-05,2025-12-05,0,-0.05138341158059468,MA10
QTP,2025-12-05,2025-12-05,0,-0.013751937984496126,MA10
HAH,2025-10-24,2025-12-12,7,-0.0006140035906642728,MA10
VNM,2025-11-21,2025-12-12,3,-0.048925278219395865,MA10
PVT,2025-11-21,2025-12-12,3,-0.07551871657754011,MA10
GAS,2025-12-05,2025-12-12,1,-0.03912302839116719,MA10
MBB,2025-12-12,2025-12-12,0,-0.046,MA10
PC1,2025-12-12,2025-12-12,0,-0.11806896551724139,MA10
QNS,2025-12-12,2025-12-12,0,-0.014849557522123994,MA10
HAX,2025-12-12,2025-12-12,0,-0.06536073059360731,MA10
PTB,2025-12-12,2025-12-12,0,-0.04138570829485431,MA10
MWG,2025-12-12,2025-12-12,0,-0.07480189798339265,MA10
VOS,2025-12-12,2025-12-12,0,-0.12069534050179212,MA10
VSC,2025-12-12,2025-12-12,0,-0.1340353200883002,MA10
HCM,2025-12-12,2025-12-12,0,-0.03001746724890799,MA10
CTG,2025-12-12,2025-12-12,0,-0.04296498054474721,MA10
PHR,2025-12-12,2025-12-12,0,-0.0663448275862069,MA10
PAN,2025-12-19,2025-12-19,0,-0.006,MA10
QCG,2025-12-12,2025-12-26,2,-0.066,MA10
HBC,2025-12-19,2025-12-26,1,-0.06482352941176471,MA10
PLX,2025-12-26,2025-12-26,0,0.012624641833810889,MARKET_DD
KSB,2025-12-26,2025-12-26,0,-0.052070460704607045,MA10
OIL,2026-01-02,2026-01-02,0,0.012867924528301886,MARKET_DD
MIG,2026-01-02,2026-01-02,0,0.014114942528735632,MARKET_DD
VPI,2025-12-12,2026-01-09,4,-0.06339130434782608,MA10
TNG,2026-01-09,2026-01-09,0,0.04894505494505513,MARKET_DD
DCM,2026-01-09,2026-01-09,0,0.05040243902439025,MARKET_DD
DDV,2026-01-09,2026-01-09,0,0.02102702702702703,MA10
VEA,2026-01-09,2026-01-09,0,0.008705882352941176,MA10
QTP,2026-01-16,2026-01-16,0,0.017076923076923087,MARKET_DD
BMI,2026-01-16,2026-01-16,0,0.07916483516483516,MARKET_DD
VEA,2026-01-16,2026-01-16,0,0.16501449275362318,MARKET_DD
DRI,2026-01-09,2026-01-23,2,-0.06753846153846155,MA10
DGW,2026-01-16,2026-01-23,1,0.07047058823529412,MARKET_DD
DHC,2026-01-23,2026-01-23,0,-0.004533724340175953,MARKET_DD
CTI,2026-01-23,2026-01-23,0,0.004775862068965518,MARKET_DD
MBS,2026-01-23,2026-01-23,0,-0.03884671532846715,MA10
HBC,2026-01-23,2026-01-23,0,-0.0363030303030303,MA10
VEA,2026-01-23,2026-01-23,0,-0.1179402985074627,MARKET_DD
VIC,2025-02-14,2026-01-30,50,5.958064436183395,MA10
LAS,2026-01-16,2026-01-30,2,0.01275,MA10
VSC,2026-01-23,2026-01-30,1,-0.05008352668213457,MA10
DRC,2026-01-23,2026-01-30,1,-0.07432298136645973,MA10
LPB,2026-01-30,2026-01-30,0,-0.028300469483568076,MA10
HCM,2026-01-23,2026-02-06,2,-0.14423929059322052,MA10
HDG,2026-02-06,2026-02-06,0,-0.05344525547445255,MA10
SAB,2025-11-21,2026-02-13,12,0.0675886983301488,MA10
CTD,2026-02-13,2026-02-13,0,0.0002189054726368161,MARKET_DD
G36,2025-12-12,2026-02-13,9,0.30921739130434783,EOD
BVH,2025-12-26,2026-02-13,7,0.4014074074074074,EOD
PNJ,2025-12-26,2026-02-13,7,0.3081545395661607,EOD
TIG,2025-12-26,2026-02-13,7,0.005764705882352941,EOD
PVC,2026-01-02,2026-02-13,6,0.2012072072072072,EOD
BID,2026-01-02,2026-02-13,6,0.20276288659793815,EOD
QNS,2026-01-09,2026-02-13,5,0.05912508073545663,EOD
PTB,2026-01-09,2026-02-13,5,0.12389690721649485,EOD
VGC,2026-01-09,2026-02-13,5,0.19447732696897374,EOD
VHC,2026-01-09,2026-02-13,5,0.0614955595026643,EOD
VGI,2026-01-09,2026-02-13,5,0.4770508474576271,EOD
CTG,2026-01-09,2026-02-13,5,0.07221229050279329,EOD
CTR,2026-01-09,2026-02-13,5,0.08309730363423212,EOD
BFC,2026-01-16,2026-02-13,4,0.30352380952380953,EOD
MBB,2026-01-16,2026-02-13,4,0.021223230490018147,EOD
DCM,2026-01-16,2026-02-13,4,0.10134463276836157,EOD
NT2,2026-01-16,2026-02-13,4,0.10624489795918367,EOD
GMD,2026-01-16,2026-02-13,4,0.19592307692307692,EOD
DPM,2026-01-16,2026-02-13,4,0.042218029350104824,EOD
BSR,2026-01-16,2026-02-13,4,0.21290547263681592,EOD
VOS,2026-01-16,2026-02-13,4,0.06218181818181818,EOD
VGT,2026-01-16,2026-02-13,4,-0.006000000018571484,EOD
IDC,2026-01-16,2026-02-13,4,0.19912820512820512,EOD
OIL,2026-01-16,2026-02-13,4,0.3385378151260504,EOD
TVN,2026-01-16,2026-02-13,4,0.06994936708860759,EOD
PLC,2026-01-16,2026-02-13,4,0.1672283464566929,EOD
PLX,2026-01-16,2026-02-13,4,0.17581818181818182,EOD
PVT,2026-01-16,2026-02-13,4,-0.03973493975903614,EOD
VCB,2026-01-16,2026-02-13,4,-0.08468383404864081,EOD
HAX,2026-01-23,2026-02-13,3,0.01218181818181818,EOD
MIG,2026-01-23,2026-02-13,3,-0.11469565217391305,EOD
HPG,2026-01-23,2026-02-13,3,-0.04363440860215054,EOD
VNM,2026-01-23,2026-02-13,3,-0.010297994269340974,EOD
DHC,2026-01-30,2026-02-13,2,0.10673792093704246,EOD
MWG,2026-02-06,2026-02-13,1,-0.00922234156820623,EOD
VPI,2026-02-13,2026-02-13,0,0.0522010582010582,EOD
QTP,2026-02-13,2026-02-13,0,-0.02174803149606299,EOD
