date,symbol,name,exchange,industryCode,stock_p20,p_now,p_hist,adv50_vnd,close,rank
2025-03-06,VXT,CTCP Kho vận và Dịch vụ Thương mại,UPCOM,2770,0.8014484261007992,0.8014484261007992,,1560000.0,13.0,12
2025-03-06,PVH,CTCP Xây lắp Dầu khí Thanh Hóa,UPCOM,2350,0.7999330466127457,0.9498660932254914,0.65,1665000.0,0.8,13
2025-03-06,C22,CTCP 22,UPCOM,3570,0.7896603837064636,0.7896603837064636,,4860800.0,19.2,14
2025-03-06,TCK,Tổng Công ty cơ khí xây dựng - CTCP,UPCOM,2350,0.7809253615676109,0.7809253615676109,,67200.0,4.2,15
2025-03-06,PAP,CTCP Dầu khí Đầu tư khai thác cảng Phước An,UPCOM,2770,0.7747162844495911,0.8994325688991821,0.65,80351600.0,34.6,16
2025-03-06,CDG,CTCP Cầu Đuống,UPCOM,2350,0.768365582595629,0.768365582595629,,6800.0,3.4,17
2025-03-06,PVV,CTCP Vinaconex 39,UPCOM,2350,0.7670803615643655,0.8841607231287312,0.65,36710200.0,1.7,18
2025-03-06,VTG,CTCP Du lịch tỉnh Bà Rịa - Vũng Tàu,UPCOM,5750,0.7580264819666656,0.7580264819666656,,532200.0,11.3,19
2025-03-06,DP2,CTCP Dược phẩm Trung ương 2,UPCOM,4570,0.754351094405817,0.754351094405817,,115600.0,5.3,20
2025-03-07,PTM,CTCP Sản xuất Thương mại và Dịch vụ Ô tô PTM,UPCOM,2750,0.9910486474910476,0.9820972949820951,1.0,1652800.0,3.5,1
2025-03-07,MLC,CTCP Môi trường đô thị tỉnh Lào Cai,UPCOM,7570,0.986465533608989,0.986465533608989,,351400.0,24.9,2
2025-03-07,HLS,CTCP Sứ kỹ thuật Hoàng Liên Sơn,UPCOM,2730,0.973934400331743,0.973934400331743,,294000.0,24.5,3
2025-03-07,HFX,CTCP Sản xuất - Xuất nhập khẩu Thanh Hà,UPCOM,5370,0.969108446359528,0.969108446359528,,20600.0,10.3,4
2025-03-07,TCK,Tổng Công ty cơ khí xây dựng - CTCP,UPCOM,2350,0.9636282458802078,0.9636282458802078,,163200.0,4.8,5
2025-03-07,SPH,CTCP Xuất nhập khẩu Thủy sản Hà Nội,UPCOM,3570,0.963428617579052,0.963428617579052,,670800.0,10.4,6
2025-03-07,LAW,CTCP Cấp thoát nước Long An,UPCOM,7570,0.9333495922155293,0.9333495922155293,,617400.0,30.1,7
2025-03-07,ISG,CTCP Vận tải biển và Hợp tác lao động quốc tế,UPCOM,2770,0.8661561171507506,0.8661561171507506,,1763000.0,8.5,8
2025-03-07,SBM,CTCP Đầu tư Phát triển Bắc Minh,UPCOM,7530,0.8510022454303001,0.8510022454303001,,4144200.0,39.1,9
