industryCode,name,level
5377,Dịch vụ tiêu dùng đặc chủng,4
5379,Bán lẻ đặc chủng,4
5553,Phát thanh truyền hình,4
5555,Các công ty truyền thông,4
5557,Xuất bản,4
5751,Hàng không chở khách,4
5752,Cờ bạc,4
5753,Khách sạn,4
5755,Dịch vụ giải trí,4
5757,Nhà hàng và bar,4
5759,Du lịch,4
6535,Viễn thông cố định,4
6575,Viễn thông di động,4
7535,Sản xuất và cung cấp điện truyền thống,4
7537,Sản xuất và cung cấp điện bằng năng lượng thay thế,4
7573,Phân phối khí đốt,4
7575,Đa tiện ích,4
7577,Cung cấp nước sạch,4
8355,Ngân hàng,4
8532,Bảo hiểm tổng hợp,4
8534,Môi giới bảo hiểm,4
8536,Bảo hiểm tài sản và tai nạn,4
8538,Tái bảo hiểm,4
8575,Bảo hiểm nhân thọ,4
8581,Công ty bảo hiểm,4
8633,Các công ty đầu cơ và phát triển bất động sản,4
8637,Dịch vụ bất động sản,4
8671,Tín thác đầu tư bất động sản công nghiệp và văn phòng,4
8672,Tín thác đầu tư bất động sản bán lẻ,4
8673,Tín thác đầu tư bất động sản nhà ở,4
8674,Tín thác đầu tư bất động sản đa dạng,4
8675,Tín thác đầu tư bất động sản đặc biệt,4
8676,Tín thác đầu tư bất động sản thế chấp,4
8677,Tín thác đầu tư bất động sản khách sạn và nhà nghỉ,4
8771,Quản lý tài sản,4
8773,Tài chính cá nhân,4
8775,Tài chính đặc thù,4
8777,Dịch vụ đầu tư,4
8779,Tài chính thế chấp,4
8781,Công ty chứng khoán,4
8985,Quỹ đóng,4
8995,Quỹ mở,4
9533,Dịch vụ điện toán,4
9535,Dịch vụ internet,4
9537,Công nghệ phần mềm,4
9572,Phần cứng máy tính,4
9574,Thiết bị điện tử văn phòng,4
9576,Thiết bị bán dẫn,4
9578,Thiết bị viễn thông,4
