date,symbol,name,exchange,industryCode,close,volume,traded_value_vnd,adv_apr_vnd,p_now,p_hist,p20
2026-04-01,DXG,CTCP Tập đoàn Đất Xanh,HSX,8630,14.45,23266500.0,336200925000.0,247937660000.0,0.3016005758725204,0.6,0.4508002879362602
2026-04-01,REE,CTCP Cơ điện lạnh,HSX,7530,67.4,1823500.0,122903900000.0,76710272000.0,0.7477914535636858,0.15,0.4488957267818429
2026-04-01,TCH,CTCP Đầu tư Dịch vụ Tài chính Hoàng Huy,HSX,8630,17.5,10216400.0,178787000000.0,189263535000.0,0.8417777626106439,0.05,0.44588888130532195
2026-04-01,BIC,Tổng CTCP Bảo hiểm Ngân hàng Đầu tư và Phát triển Việt Nam,HSX,8530,24.1,213000.0,5133300000.0,2193209000.0,0.526281269763216,0.35,0.438140634881608
2026-04-01,BVH,Tập đoàn Bảo Việt,HSX,8570,83.8,390300.0,32707140000.0,52577046500.0,0.8701234866583692,0.0,0.4350617433291846
2026-04-01,C69,CTCP Xây dựng 1369,HNX,2350,15.9,328200.0,5218380000.0,8752466000.0,0.6689472828458171,0.2,0.43447364142290856
2026-04-01,CTD,CTCP Xây dựng COTECCONS,HSX,2350,84.2,905000.0,76201000000.0,71193831500.0,0.6589004493589883,0.2,0.4294502246794941
2026-04-01,MSR,CTCP MaSan High - Tech Materials,UPCOM,1770,49.8,1892800.0,94261440000.0,79260460000.0,0.8570883334197354,0.0,0.4285441667098677
2026-04-01,VTD,CTCP Vietourist Holdings,UPCOM,5750,6.0,17000.0,102000000.0,2141675000.0,0.24903163025542407,0.6,0.424515815127712
2026-04-01,VGI,Tổng CTCP Đầu tư Quốc tế Viettel,UPCOM,6530,95.3,1445600.0,137765680000.0,64421235000.0,0.6489476123128074,0.2,0.42447380615640373
2026-04-01,BMI,Tổng CTCP Bảo Minh,HSX,8530,17.2,230400.0,3962880000.0,6872621250.0,0.39205559718331157,0.45,0.4210277985916558
2026-04-01,LPB,Ngân hàng TMCP Lộc Phát Việt Nam,HSX,8350,42.4,1737100.0,73653040000.0,77702082750.0,0.5333258031939533,0.3,0.4166629015969766
2026-04-01,AGR,CTCP Chứng khoán Agribank,HSX,8780,14.9,762300.0,11358270000.0,5020422750.0,0.3273007223693213,0.5,0.41365036118466064
2026-04-01,SBS,CTCP Chứng khoán SBS,UPCOM,8780,5.5,1603500.0,8819250000.0,3190455000.0,0.47573835981649376,0.35,0.4128691799082469
2026-04-01,NHA,Tổng Công ty Đầu tư Phát triển Nhà và Đô thị Nam Hà Nội,HSX,2350,13.3,276600.0,3678780000.0,2430573250.0,0.42203137780422284,0.4,0.41101568890211143
2026-04-01,HAG,CTCP Hoàng Anh Gia Lai,HSX,3570,16.35,4382300.0,71650605000.00002,78571666250.0,0.5689893979138567,0.25,0.40949469895692836
2026-04-01,KSF,CTCP Tập đoàn Sunshine,HNX,8630,82.8,38400.0,3179520000.0,3867044500.0,0.8143160090766719,0.0,0.40715800453833595
2026-04-01,PNJ,CTCP Vàng bạc Đá quý Phú Nhuận,HSX,3760,109.3,813000.0,88860900000.0,113712349000.0,0.4596361164893489,0.35,0.40481805824467443
2026-04-01,HTN,CTCP Hưng Thịnh Incons,HSX,2350,7.5,321900.0,2414250000.0,2123598250.0,0.7074046064880926,0.1,0.40370230324404627
2026-04-01,NVL,CTCP Tập đoàn Đầu tư Địa ốc No Va,HSX,8630,14.15,13962300.0,197566545000.0,527076817750.0,0.8063432665826876,0.0,0.4031716332913438
2026-04-01,DBC,CTCP Tập đoàn Dabaco Việt Nam,HSX,3570,23.3,2944400.0,68604520000.0,56524485500.0,0.20356943362034494,0.6,0.40178471681017247
2026-04-01,HSG,CTCP Tập đoàn Hoa Sen,HSX,1750,14.9,2875000.0,42837500000.0,67806466000.0,0.3522322524749255,0.45,0.40111612623746273
2026-04-01,HCM,CTCP Chứng khoán Thành phố Hồ Chí Minh,HSX,8780,23.5,19337400.0,454428900000.0,433223341000.0,0.5950017825206133,0.2,0.39750089126030663
2026-04-01,HVN,Tổng Công ty Hàng không Việt Nam - CTCP,HSX,5750,22.4,1982600.0,44410240000.0,17701866500.0,0.19381211065309392,0.6,0.39690605532654694
2026-04-01,MSH,CTCP May Sông Hồng,HSX,3760,36.8,403300.0,14841440000.0,8567991250.0,0.4397184568992891,0.35,0.39485922844964455
2026-04-01,VHC,CTCP Vĩnh Hoàn,HSX,3570,58.9,452700.0,26664030000.0,54672328500.0,0.4890489434836001,0.3,0.39452447174180005
2026-04-01,VVS,CTCP Đầu tư phát triển máy Việt Nam,HSX,2770,115.5,228900.0,26437950000.0,24858803500.0,0.5840130207169343,0.2,0.3920065103584671
2026-04-01,DVM,CTCP Dược liệu Việt Nam,HNX,4570,6.9,363100.0,2505390000.0,3625846000.0,0.783013330045335,0.0,0.3915066650226675
2026-04-01,DGW,CTCP Thế giới số,HSX,5370,46.0,1066300.0,49049800000.0,70859506250.0,0.573216539098502,0.2,0.386608269549251
2026-04-01,DPG,CTCP Tập đoàn Đạt Phương,HSX,2350,42.15,513500.0,21644025000.0,30389941500.0,0.37207169408932966,0.4,0.38603584704466487
2026-04-01,PVT,Tổng CTCP Vận tải Dầu khí,HSX,2770,21.75,8160200.0,177484350000.0,155330630500.0,0.17123569319145746,0.6,0.38561784659572873
2026-04-01,HDG,CTCP Tập đoàn Hà Đô,HSX,8630,29.0,2716100.0,78766900000.0,65976562000.0,0.653234703670931,0.1,0.37661735183546546
2026-04-01,GVR,Tập đoàn Công nghiệp Cao su Việt Nam - CTCP,HSX,1350,32.5,3228800.0,104936000000.0,101374722000.0,0.24861897377056189,0.5,0.37430948688528093
2026-04-01,DLG,CTCP Tập đoàn Đức Long Gia Lai,HSX,8630,2.88,1302600.0,3751488000.0,3085603200.0,0.647965143590989,0.1,0.3739825717954945
2026-04-01,BVB,Ngân hàng TMCP Bản Việt,UPCOM,8350,12.6,1408400.0,17745840000.0,17088588500.0,0.43524488890579016,0.3,0.36762244445289505
2026-04-01,STB,Ngân hàng TMCP Sài Gòn Thương Tín,HSX,8350,62.2,3187200.0,198243840000.0,414522068500.0,0.43164330912579996,0.3,0.36582165456289994
2026-04-01,LCG,CTCP Lizen,HSX,2350,9.9,1855800.0,18372420000.0,18666061100.0,0.42664867864795236,0.3,0.3633243393239762
2026-04-01,TDP,CTCP Thuận Đức,HSX,1350,29.4,452400.0,13300560000.0,9149152500.0,0.5229177688619697,0.2,0.36145888443098484
2026-04-01,KOS,CTCP Kosy,HSX,8630,39.0,316800.0,12355200000.0,15048106500.0,0.7215732939153146,0.0,0.3607866469576573
2026-04-01,VTZ,CTCP Sản xuất và Thương mại Nhựa Việt Thành,HNX,1350,20.2,1201100.0,24262220000.0,21282963000.0,0.6700108335657887,0.05,0.3600054167828944
2026-04-01,BFC,CTCP Phân bón Bình Điền,HSX,1350,55.5,145400.0,8069700000.0,14150434000.0,0.26947888905549106,0.45,0.35973944452774553
2026-04-01,PPC,CTCP Nhiệt điện Phả Lại,HSX,7530,10.4,816800.0,8494720000.0,4142745250.0,0.5644785514120809,0.15,0.35723927570604047
2026-04-01,PCH,CTCP Picomat Holding,HNX,1350,20.2,80900.0,1634180000.0,2306596500.0,0.6109659842924531,0.1,0.35548299214622653
2026-04-01,MSN,CTCP Tập đoàn MaSan,HSX,3570,76.9,8282500.0,636924250000.0,468306873000.0,0.6078499956212197,0.1,0.3539249978106098
2026-04-01,DRI,CTCP Đầu tư Cao su Đắk Lắk,UPCOM,1350,12.8,532400.0,6814720000.0,8406146000.0,0.30722765722908935,0.4,0.3536138286145447
