date,symbol,name,exchange,industryCode,close,volume,traded_value_vnd,adv_apr_vnd
2026-04-01,MSR,CTCP MaSan High - Tech Materials,UPCOM,1770,49.8,1892800.0,94261440000.0,79260460000.0
2026-04-01,MSB,Ngân hàng TMCP Hàng Hải Việt Nam,HSX,8350,11.6,7957900.0,92311640000.0,134368222000.0
2026-04-01,PNJ,CTCP Vàng bạc Đá quý Phú Nhuận,HSX,3760,109.3,813000.0,88860900000.0,113712349000.0
2026-04-01,TCX,CTCP Chứng khoán Kỹ thương,HSX,8780,51.9,1587900.0,82412010000.0,73770587000.0
2026-04-01,HHV,CTCP Đầu tư Hạ tầng giao thông Đèo Cả,HSX,2350,12.3,6437700.0,79183710000.0,98435743250.0
2026-04-01,HDG,CTCP Tập đoàn Hà Đô,HSX,8630,29.0,2716100.0,78766900000.0,65976562000.0
2026-04-01,CTD,CTCP Xây dựng COTECCONS,HSX,2350,84.2,905000.0,76201000000.0,71193831500.0
2026-04-01,VTP,Tổng CTCP Bưu chính Viettel,HSX,2770,99.4,760500.0,75593700000.0,39287927000.0
2026-04-01,VPI,CTCP Phát triển Bất động sản Văn Phú,HSX,8630,58.4,1262200.0,73712480000.0,168903574500.0
2026-04-01,LPB,Ngân hàng TMCP Lộc Phát Việt Nam,HSX,8350,42.4,1737100.0,73653040000.0,77702082750.0
2026-04-01,HAG,CTCP Hoàng Anh Gia Lai,HSX,3570,16.35,4382300.0,71650605000.00002,78571666250.0
2026-04-01,BAF,CTCP Nông nghiệp BAF Việt Nam,HSX,3570,35.05,2019800.0,70793990000.0,79360390500.0
2026-04-01,KBC,Tổng Công ty Phát triển Đô Thị Kinh Bắc - CTCP,HSX,8630,32.2,2197200.0,70749840000.00002,106707670250.0
2026-04-01,DCL,CTCP Dược phẩm Cửu Long,HSX,4570,59.9,1175700.0,70424430000.0,41449621500.0
2026-04-01,VFS,CTCP Chứng khoán Nhất Việt,HNX,8780,14.3,4879200.0,69772560000.0,16103112000.0
2026-04-01,DBC,CTCP Tập đoàn Dabaco Việt Nam,HSX,3570,23.3,2944400.0,68604520000.0,56524485500.0
2026-04-01,HHS,CTCP Đầu tư dịch vụ Hoàng Huy,HSX,8630,13.3,4739600.0,63036680000.0,50781843500.0
2026-04-01,OIL,Tổng Công ty Dầu Việt Nam - CTCP,UPCOM,0530,15.2,3762700.0,57193040000.0,41786704500.0
2026-04-01,ACV,Tổng Công ty Cảng hàng không Việt Nam - CTCP,UPCOM,2770,46.9,1153400.0,54094460000.0,30047377000.0
2026-04-01,PET,Tổng CTCP Dịch vụ Tổng hợp Dầu khí,HSX,5370,51.3,1045300.0,53623890000.0,30910886750.0
2026-04-01,HAH,CTCP Vận tải và Xếp dỡ Hải An,HSX,2770,56.6,918400.0,51981440000.0,43335880500.0
2026-04-01,VPX,CTCP Chứng khoán VPBank,HSX,8780,29.25,1693100.0,49523175000.0,36820924250.0
2026-04-01,FTS,CTCP Chứng khoán FPT,HSX,8780,27.35,1809500.0,49489825000.0,24516167500.0
2026-04-01,PVC,Tổng Công ty Hóa chất và Dịch vụ dầu khí - CTCP,HNX,0570,16.7,2957300.0,49386910000.0,24199687500.0
2026-04-01,DGW,CTCP Thế giới số,HSX,5370,46.0,1066300.0,49049800000.0,70859506250.0
2026-04-01,HDC,CTCP Phát triển Nhà Bà Rịa - Vũng Tàu,HSX,8630,18.7,2621800.0,49027660000.0,49694808000.0
2026-04-01,GEG,CTCP Điện Gia Lai,HSX,7530,16.25,2951200.0,47957000000.0,19439764000.0
2026-04-01,CTR,Tổng CTCP Công trình Viettel,HSX,2350,86.7,522700.0,45318090000.0,26258533500.0
2026-04-01,HUT,CTCP Tasco,HNX,2350,16.9,2679000.0,45275100000.0,42989321000.0
2026-04-01,HVN,Tổng Công ty Hàng không Việt Nam - CTCP,HSX,5750,22.4,1982600.0,44410240000.0,17701866500.0
2026-04-01,DDV,CTCP DAP - VINACHEM,UPCOM,1350,27.5,1577000.0,43367500000.0,25797819500.0
2026-04-01,KHG,CTCP Tập đoàn Khải Hoàn Land,HSX,8630,5.54,7819300.0,43318922000.0,37495779150.0
2026-04-01,HSG,CTCP Tập đoàn Hoa Sen,HSX,1750,14.9,2875000.0,42837500000.0,67806466000.0
2026-04-01,CTS,CTCP Chứng khoán Vietinbank,HSX,8780,28.1,1523900.0,42821590000.0,19909967750.0
2026-04-01,PAN,CTCP Tập đoàn PAN,HSX,3570,31.85,1317000.0,41946450000.0,23982334750.0
2026-04-01,NKG,CTCP Thép Nam Kim,HSX,1750,13.9,2983400.0,41469260000.0,70306007750.0
